,ad,al,am,at,au,az,ba,be,bg,by,ch,cy,cz,de,dk,ee,es,fi,fr,gb,ge,gr,hr,hu,ie,il,is,it,lt,lu,lv,ma,mc,md,me,mk,mt,nl,no,pl,pt,ro,rs,ru,se,si,sk,sm,tr,ua
ad,0,0.855674603174603,0.902380952380952,0.82609126984127,0.821071428571429,0.941289682539683,0.859641070823039,0.772545968882603,0.840486111111111,0.858295412236634,0.790411355834268,0.829841857005852,0.840565476190476,0.829126984126984,0.835654761904762,0.926785714285714,0.624781746031746,0.926682413360514,0.675992063492064,0.821071428571429,0.97112012987013,0.829603174603175,0.853690476190476,0.933928571428571,0.842321253114363,0.910138888888889,0.890357142857143,0.601597222222222,0.844388528138528,0.800002364888984,0.863799603174603,0.909930555555556,0.675992063492064,0.654335317460318,0.859077380952381,0.857017882610065,0.883826897824687,0.835972222222222,0.835922619047619,0.870496031746032,0.627103174603175,0.654335317460318,0.884285714285714,0.855734751359752,0.868928571428571,0.835555555555556,0.847916666666667,0.601597222222222,0.926388888888889,0.845892857142857
al,0.855674603174603,0,0.91531746031746,0.912916666666667,0.900833333333334,0.947400793650794,0.892863591774451,0.908246699669967,0.866388888888889,0.885350796961423,0.906272146171102,0.896611350869982,0.879375,0.904345238095238,0.936666666666667,0.937083333333333,0.919315476190476,0.907427212377816,0.888303571428571,0.900833333333334,0.918977272727273,0.896527777777778,0.897678571428571,0.91625,0.89704364348294,0.929761904761905,0.946785714285714,0.890327380952381,0.890386002886003,0.919722817162847,0.923720238095238,0.93125,0.888303571428571,0.867261904761905,0.891428571428571,0.735134050119464,0.901623938770791,0.921607142857143,0.911954365079365,0.873035714285714,0.854940476190476,0.867261904761905,0.887678571428571,0.898234473859474,0.927857142857143,0.868611111111111,0.870595238095238,0.890327380952381,0.930416666666667,0.871428571428571
am,0.902380952380952,0.91531746031746,0,0.865595238095238,0.909275793650794,0.944345238095238,0.904442466372782,0.898261040389753,0.900386904761905,0.890769359690048,0.898221189796404,0.871932150686004,0.882956349206349,0.863650793650794,0.882440476190476,0.908829365079365,0.916269841269841,0.954476068510097,0.890416666666667,0.909275793650794,0.912330447330447,0.871894841269841,0.904662698412699,0.902777777777778,0.908443439952744,0.929107142857143,0.895297619047619,0.889632936507937,0.881425865800866,0.892264016801123,0.921220238095238,0.922480158730159,0.890416666666667,0.872440476190476,0.916954365079365,0.873454186808913,0.939876874700626,0.90406746031746,0.889083994708995,0.925664682539683,0.88859126984127,0.872440476190476,0.906924603174603,0.891685328560329,0.87109126984127,0.897857142857143,0.885456349206349,0.889632936507937,0.88702380952381,0.894186507936508
at,0.82609126984127,0.912916666666667,0.865595238095238,0,0.699583333333333,0.936190476190476,0.80085588940561,0.728349834983498,0.809305555555556,0.841691019452826,0.641127447231569,0.902774010138375,0.814791666666667,0.477619047619048,0.681547619047619,0.874702380952381,0.83077380952381,0.883997961423867,0.858928571428571,0.699583333333333,0.95849025974026,0.902777777777778,0.809345238095238,0.882916666666667,0.75163851311834,0.886011904761905,0.735267857142857,0.789077380952381,0.851476370851371,0.6337777986007,0.847678571428572,0.918511904761905,0.858928571428571,0.803303571428572,0.814761904761905,0.859390870700672,0.912070171200634,0.645476190476191,0.711755952380953,0.850565476190476,0.829107142857143,0.803303571428572,0.79702380952381,0.855149433899434,0.710119047619048,0.780496031746032,0.80875,0.789077380952381,0.90125,0.855178571428572
au,0.821071428571429,0.900833333333334,0.909275793650794,0.699583333333333,0,0.897956349206349,0.83331677202926,0.689492574257426,0.857986111111111,0.875813371689912,0.738221742122973,0.905613807175151,0.8475,0.642321428571429,0.655535714285714,0.927886904761905,0.876607142857143,0.892634761643406,0.844553571428571,0,0.936149891774892,0.905595238095238,0.82375,0.894583333333334,0.248997781930262,0.922291666666667,0.669107142857143,0.834464285714286,0.875323773448774,0.697861961876205,0.883928571428571,0.945178571428572,0.844553571428571,0.834345238095238,0.825416666666667,0.872486386619992,0.858960253456221,0.586904761904762,0.597232142857143,0.88702380952381,0.884553571428572,0.834345238095238,0.83327380952381,0.884313672438673,0.5925,0.847440476190476,0.864166666666667,0.834464285714286,0.913125,0.885357142857143
az,0.941289682539683,0.947400793650794,0.944345238095238,0.936190476190476,0.897956349206349,0,0.949399988293045,0.936389281785321,0.919206349206349,0.940943734710419,0.928969953434622,0.930996662947958,0.913690476190476,0.918174603174603,0.948333333333334,0.942083333333333,0.954345238095238,0.887933306326556,0.962916666666667,0.897956349206349,0.891616161616162,0.932222222222222,0.95389880952381,0.906984126984127,0.899425370799266,0.962261904761905,0.909325396825397,0.939732142857143,0.926364538239538,0.929718637704957,0.870436507936508,0.987261904761905,0.962916666666667,0.955555555555556,0.934871031746032,0.935564700598248,0.923683580265266,0.919007936507937,0.925396825396826,0.910853174603175,0.917678571428571,0.955555555555556,0.945674603174603,0.947240884115884,0.910496031746032,0.919424603174603,0.941607142857143,0.939732142857143,0.435257936507936,0.90656746031746
ba,0.859641070823039,0.892863591774451,0.904442466372782,0.80085588940561,0.83331677202926,0.949399988293045,0,0.849252040103734,0.427061574545043,0.549347232089571,0.821986037252182,0.856668358821632,0.392121300198614,0.851592973405028,0.867111066705421,0.879332158600979,0.837982124691179,0.89735749043658,0.842606846146393,0.83331677202926,0.919687121542411,0.856548446608213,0.137778181465872,0.883049126822652,0.846404628723389,0.924111351305527,0.877727740638473,0.794944957128324,0.798624197027681,0.853977168741963,0.802010396986872,0.920285326745144,0.842606846146393,0.818162088843676,0.127177675241002,0.509784794583431,0.890800453379116,0.853643153853607,0.856740112669347,0.533382169500557,0.862185153562951,0.818162088843676,0.158652539601802,0.570491624488318,0.844772652957419,0.284780343215618,0.386527303444267,0.794944957128324,0.905172849149833,0.511882962747663
be,0.772545968882603,0.908246699669967,0.898261040389753,0.728349834983498,0.689492574257426,0.936389281785321,0.849252040103734,0,0.863733498349835,0.868953091677097,0.666793815881665,0.881685566753346,0.861744754832626,0.613118811881188,0.721851720886374,0.913081093823668,0.798675447901933,0.912068400465576,0.515902581329562,0.689492574257426,0.948057520037718,0.881566772748703,0.844307225365394,0.926422677982084,0.752851604088717,0.888300330033003,0.745561056105611,0.74988213107025,0.889142128498564,0.600983604732287,0.886193128241396,0.930741395568128,0.515902581329562,0.772540664780764,0.862967644978784,0.865616690377989,0.907604912853037,0.342639085337105,0.714395135942166,0.869613684582744,0.798732909005186,0.772540664780764,0.847671499292787,0.869598438552647,0.710539839698256,0.848970807795065,0.851774516737388,0.74988213107025,0.929737741631306,0.868271452145215
bg,0.840486111111111,0.866388888888889,0.900386904761905,0.809305555555556,0.857986111111111,0.919206349206349,0.427061574545043,0.863733498349835,0,0.608151573785557,0.839004665035179,0.861524144696925,0.495763888888889,0.859702380952381,0.888998015873016,0.907222222222222,0.861498015873016,0.887837475824578,0.86202380952381,0.857986111111111,0.916259920634921,0.861398809523809,0.43719246031746,0.879444444444445,0.866852607291996,0.93656746031746,0.869910714285714,0.790873015873016,0.821533189033189,0.874949087956022,0.808382936507937,0.920416666666667,0.86202380952381,0.795347222222222,0.402638888888889,0.469701315960067,0.887219909816164,0.864940476190476,0.871134259259259,0.552132936507937,0.841359126984127,0.795347222222222,0.415644841269841,0.627430624930625,0.885218253968254,0.357113095238095,0.499394841269841,0.790873015873016,0.912222222222222,0.563630952380952
by,0.858295412236634,0.885350796961423,0.890769359690048,0.841691019452826,0.875813371689912,0.940943734710419,0.549347232089571,0.868953091677097,0.608151573785557,0,0.871441884026661,0.910953191923522,0.519753564368554,0.856347749187842,0.901309596033672,0.905942155038664,0.879226688922531,0.912263019296052,0.880068272760778,0.875813371689912,0.919017046295024,0.910950403691677,0.531856146363333,0.89678738655253,0.869729709229649,0.915181077335852,0.867197657037236,0.859611107150892,0.771682053686674,0.882493878521136,0.814177054835423,0.919620471645626,0.880068272760778,0.870802377806998,0.534300507842602,0.653289354033048,0.916615646458536,0.86175305999613,0.878514156673808,0.562503880587813,0.865150428370398,0.870802377806998,0.585601533562262,0.135428648467663,0.891308688886974,0.532838332099112,0.517579625200262,0.859611107150892,0.912081031705005,0.548757240506471
